episode,epsilon,score,average_score,total_reward,average_reward,Q_table_length
1,1.0,23,11.5,13.0,6.5,25
2,0.9980019986673331,19,14.0,9.0,7.333333333333333,46
3,0.997004495503373,14,14.0,4.0,6.5,62
4,0.9960079893439915,15,14.2,5.0,6.2,79
5,0.9950124791926823,12,13.833333333333334,2.0,5.5,93
6,0.9940179640539353,16,14.142857142857142,6.0,5.571428571428571,111
7,0.9930244429332351,29,16.0,19.0,7.25,142
8,0.9920319148370607,14,15.777777777777779,4.0,6.888888888888889,158
9,0.9910403787728836,18,16.0,8.0,7.0,178
10,0.9900498337491681,12,15.636363636363637,2.0,6.545454545454546,192
11,0.9890602787753687,16,15.666666666666666,6.0,6.5,210
12,0.9880717128619305,19,15.923076923076923,9.0,6.6923076923076925,231
13,0.9870841350202876,17,16.0,7.0,6.714285714285714,250
14,0.9860975442628619,17,16.066666666666666,7.0,6.733333333333333,269
15,0.9851119396030626,11,15.75,1.0,6.375,282
16,0.9841273200552851,16,15.764705882352942,6.0,6.352941176470588,300
17,0.9831436846349096,11,15.5,1.0,6.055555555555555,313
18,0.9821610323583008,26,16.05263157894737,16.0,6.578947368421052,341
19,0.981179362242806,28,16.65,18.0,7.15,371
20,0.9801986733067553,9,16.285714285714285,-1.0,6.761904761904762,382
21,0.9792189645694596,21,16.5,11.0,6.954545454545454,405
22,0.97824023505121,20,16.652173913043477,10.0,7.086956521739131,427
23,0.9772624837732771,48,17.958333333333332,38.0,8.375,477
24,0.9762857097579093,27,18.32,17.0,8.72,506
25,0.9753099120283326,40,19.153846153846153,30.0,9.538461538461538,548
26,0.9743350896087494,17,19.074074074074073,7.0,9.444444444444445,567
27,0.9733612415243368,11,18.785714285714285,1.0,9.142857142857142,580
28,0.9723883668012469,14,18.620689655172413,4.0,8.96551724137931,596
29,0.9714164644666048,15,18.5,5.0,8.833333333333334,613
30,0.9704455335485082,26,18.741935483870968,16.0,9.064516129032258,641
31,0.9694755730760259,30,19.09375,20.0,9.40625,673
32,0.9685065820791976,23,19.21212121212121,13.0,9.515151515151516,698
33,0.967538559589032,12,19.0,2.0,9.294117647058824,712
34,0.9665715046375066,22,19.085714285714285,12.0,9.371428571428572,736
35,0.9656054162575665,24,19.22222222222222,14.0,9.5,762
36,0.9646402934831231,18,19.18918918918919,8.0,9.45945945945946,782
37,0.9636761353490535,17,19.13157894736842,7.0,9.394736842105264,801
38,0.9627129408911995,15,19.025641025641026,5.0,9.282051282051283,818
39,0.9617507091463667,11,18.825,1.0,9.075,831
40,0.9607894391523232,12,18.658536585365855,2.0,8.902439024390244,845
41,0.9598291299477989,18,18.642857142857142,8.0,8.880952380952381,865
42,0.9588697805724845,24,18.767441860465116,14.0,9.0,891
43,0.9579113900670306,16,18.704545454545453,6.0,8.931818181818182,909
44,0.9569539574730467,13,18.57777777777778,3.0,8.8,924
45,0.9559974818331,25,18.717391304347824,15.0,8.934782608695652,951
46,0.9550419621907147,47,19.319148936170212,37.0,9.53191489361702,1000
47,0.9540873975903711,10,19.125,0.0,9.333333333333334,1012
48,0.9531337870775047,12,18.979591836734695,2.0,9.183673469387756,1026
49,0.9521811296985049,11,18.82,1.0,9.02,1039
50,0.951229424500714,11,18.666666666666668,1.0,8.862745098039216,1052
51,0.950278670532427,11,18.51923076923077,1.0,8.711538461538462,1065
52,0.9493288668428895,16,18.471698113207548,6.0,8.660377358490566,1083
53,0.9483800124822982,14,18.38888888888889,4.0,8.574074074074074,1099
54,0.9474321065017983,16,18.345454545454544,6.0,8.527272727272727,1117
55,0.9464851479534838,11,18.214285714285715,1.0,8.392857142857142,1130
56,0.9455391358903963,14,18.140350877192983,4.0,8.31578947368421,1146
57,0.9445940693665233,16,18.103448275862068,6.0,8.275862068965518,1164
58,0.9436499474367985,30,18.305084745762713,20.0,8.474576271186441,1196
59,0.9427067691570997,8,18.133333333333333,-2.0,8.3,1206
60,0.9417645335842487,27,18.278688524590162,17.0,8.442622950819672,1235
61,0.9408232397760097,13,18.193548387096776,3.0,8.35483870967742,1250
62,0.9398828867910889,13,18.11111111111111,3.0,8.26984126984127,1265
63,0.9389434736891332,14,18.046875,4.0,8.203125,1281
64,0.9380049995307295,23,18.123076923076923,13.0,8.276923076923078,1306
65,0.9370674633774034,15,18.075757575757574,5.0,8.227272727272727,1323
66,0.9361308642916188,14,18.01492537313433,4.0,8.164179104477611,1339
67,0.9351952013367766,10,17.897058823529413,0.0,8.044117647058824,1351
68,0.9342604735772135,16,17.869565217391305,6.0,8.014492753623188,1369
69,0.933326680078202,12,17.785714285714285,2.0,7.928571428571429,1383
70,0.9323938199059483,14,17.732394366197184,4.0,7.873239436619718,1399
71,0.9314618921275921,12,17.65277777777778,2.0,7.791666666666667,1413
72,0.9305308958112057,12,17.575342465753426,2.0,7.712328767123288,1427
73,0.9296008300257927,17,17.56756756756757,7.0,7.702702702702703,1446
74,0.9286716938412872,21,17.613333333333333,11.0,7.746666666666667,1469
75,0.9277434863285529,19,17.63157894736842,9.0,7.7631578947368425,1490
76,0.9268162065593822,11,17.545454545454547,1.0,7.675324675324675,1503
77,0.9258898536064953,23,17.615384615384617,13.0,7.743589743589744,1528
78,0.9249644265435393,23,17.68354430379747,13.0,7.810126582278481,1553
79,0.9240399244450868,10,17.5875,0.0,7.7125,1565
80,0.9231163463866358,28,17.71604938271605,18.0,7.839506172839506,1595
81,0.922193691444608,30,17.865853658536587,20.0,7.987804878048781,1627
82,0.9212719586963487,33,18.048192771084338,23.0,8.168674698795181,1662
83,0.9203511472201247,13,17.988095238095237,3.0,8.107142857142858,1677
84,0.9194312560951247,12,17.91764705882353,2.0,8.035294117647059,1691
85,0.9185122844014574,13,17.86046511627907,3.0,7.976744186046512,1706
86,0.9175942312201509,12,17.79310344827586,2.0,7.908045977011494,1720
87,0.9166770956331523,11,17.71590909090909,1.0,7.829545454545454,1733
88,0.9157608767233256,16,17.696629213483146,6.0,7.808988764044944,1751
89,0.914845573574452,8,17.58888888888889,-2.0,7.7,1761
90,0.9139311852712282,14,17.54945054945055,4.0,7.65934065934066,1777
91,0.9130177108992658,15,17.52173913043478,5.0,7.630434782608695,1794
92,0.9121051495450904,9,17.43010752688172,-1.0,7.537634408602151,1805
93,0.9111935002961405,22,17.47872340425532,12.0,7.585106382978723,1829
94,0.910282762240767,15,17.45263157894737,5.0,7.557894736842106,1846
95,0.9093729344682314,16,17.4375,6.0,7.541666666666667,1864
96,0.9084640160687062,15,17.412371134020617,5.0,7.515463917525773,1881
97,0.9075560061332727,69,17.93877551020408,59.0,8.040816326530612,1952
98,0.9066489037539209,19,17.949494949494948,9.0,8.05050505050505,1973
99,0.9057427080235485,13,17.9,3.0,8.0,1988
100,0.9048374180359595,11,17.831683168316832,1.0,7.930693069306931,2001
101,0.9039330328858641,10,17.754901960784313,0.0,7.852941176470588,2013
102,0.9030295516688768,21,17.78640776699029,11.0,7.883495145631068,2036
103,0.9021269734815165,8,17.692307692307693,-2.0,7.788461538461538,2046
104,0.9012252974212047,12,17.63809523809524,2.0,7.733333333333333,2060
105,0.9003245225862656,35,17.80188679245283,25.0,7.89622641509434,2097
106,0.899424648075924,23,17.850467289719628,13.0,7.94392523364486,2122
107,0.8985256729903055,12,17.796296296296298,2.0,7.888888888888889,2136
