episode,epsilon,score,average_score,total_reward,average_reward
1,1.0,37,18.5,27.0,13.5
2,0.9980019986673331,13,16.666666666666668,3.0,10.0
3,0.997004495503373,11,15.25,1.0,7.75
4,0.9960079893439915,18,15.8,8.0,7.8
5,0.9950124791926823,29,18.0,19.0,9.666666666666666
6,0.9940179640539353,16,17.714285714285715,6.0,9.142857142857142
7,0.9930244429332351,61,23.125,51.0,14.375
8,0.9920319148370607,20,22.77777777777778,10.0,13.88888888888889
9,0.9910403787728836,48,25.3,38.0,16.3
10,0.9900498337491681,21,24.90909090909091,11.0,15.818181818181818
11,0.9890602787753687,12,23.833333333333332,2.0,14.666666666666666
12,0.9880717128619305,19,23.46153846153846,9.0,14.23076923076923
13,0.9870841350202876,30,23.928571428571427,20.0,14.642857142857142
14,0.9860975442628619,11,23.066666666666666,1.0,13.733333333333333
15,0.9851119396030626,13,22.4375,3.0,13.0625
16,0.9841273200552851,32,23.0,22.0,13.588235294117647
17,0.9831436846349096,12,22.38888888888889,2.0,12.944444444444445
18,0.9821610323583008,11,21.789473684210527,1.0,12.31578947368421
19,0.981179362242806,16,21.5,6.0,12.0
20,0.9801986733067553,28,21.80952380952381,18.0,12.285714285714286
21,0.9792189645694596,20,21.727272727272727,10.0,12.181818181818182
22,0.97824023505121,18,21.565217391304348,8.0,12.0
23,0.9772624837732771,14,21.25,4.0,11.666666666666666
24,0.9762857097579093,14,20.96,4.0,11.36
25,0.9753099120283326,20,20.923076923076923,10.0,11.307692307692308
26,0.9743350896087494,14,20.666666666666668,4.0,11.037037037037036
27,0.9733612415243368,27,20.892857142857142,17.0,11.25
28,0.9723883668012469,24,21.0,14.0,11.344827586206897
29,0.9714164644666048,19,20.933333333333334,9.0,11.266666666666667
30,0.9704455335485082,27,21.129032258064516,17.0,11.451612903225806
31,0.9694755730760259,15,20.9375,5.0,11.25
32,0.9685065820791976,9,20.575757575757574,-1.0,10.878787878787879
33,0.967538559589032,66,21.91176470588235,56.0,12.205882352941176
34,0.9665715046375066,13,21.65714285714286,3.0,11.942857142857143
35,0.9656054162575665,12,21.38888888888889,2.0,11.666666666666666
36,0.9646402934831231,15,21.216216216216218,5.0,11.486486486486486
37,0.9636761353490535,19,21.157894736842106,9.0,11.421052631578947
38,0.9627129408911995,13,20.94871794871795,3.0,11.205128205128204
39,0.9617507091463667,13,20.75,3.0,11.0
40,0.9607894391523232,23,20.804878048780488,13.0,11.048780487804878
41,0.9598291299477989,19,20.761904761904763,9.0,11.0
42,0.9588697805724845,10,20.511627906976745,0.0,10.744186046511627
43,0.9579113900670306,48,21.136363636363637,38.0,11.363636363636363
44,0.9569539574730467,17,21.044444444444444,7.0,11.266666666666667
45,0.9559974818331,19,21.0,9.0,11.217391304347826
46,0.9550419621907147,13,20.829787234042552,3.0,11.042553191489361
47,0.9540873975903711,16,20.729166666666668,6.0,10.9375
48,0.9531337870775047,11,20.53061224489796,1.0,10.73469387755102
49,0.9521811296985049,14,20.4,4.0,10.6
50,0.951229424500714,18,20.352941176470587,8.0,10.549019607843137
51,0.950278670532427,17,20.28846153846154,7.0,10.48076923076923
52,0.9493288668428895,45,20.754716981132077,35.0,10.943396226415095
53,0.9483800124822982,31,20.944444444444443,21.0,11.12962962962963
54,0.9474321065017983,21,20.945454545454545,11.0,11.127272727272727
55,0.9464851479534838,16,20.857142857142858,6.0,11.035714285714286
56,0.9455391358903963,21,20.859649122807017,11.0,11.035087719298245
57,0.9445940693665233,13,20.724137931034484,3.0,10.89655172413793
58,0.9436499474367985,23,20.76271186440678,13.0,10.932203389830509
59,0.9427067691570997,8,20.55,-2.0,10.716666666666667
60,0.9417645335842487,25,20.62295081967213,15.0,10.78688524590164
61,0.9408232397760097,11,20.467741935483872,1.0,10.629032258064516
62,0.9398828867910889,16,20.396825396825395,6.0,10.555555555555555
63,0.9389434736891332,27,20.5,17.0,10.65625
64,0.9380049995307295,18,20.46153846153846,8.0,10.615384615384615
65,0.9370674633774034,20,20.454545454545453,10.0,10.606060606060606
66,0.9361308642916188,16,20.388059701492537,6.0,10.537313432835822
67,0.9351952013367766,26,20.470588235294116,16.0,10.617647058823529
68,0.9342604735772135,14,20.3768115942029,4.0,10.521739130434783
69,0.933326680078202,13,20.271428571428572,3.0,10.414285714285715
70,0.9323938199059483,13,20.169014084507044,3.0,10.309859154929578
71,0.9314618921275921,23,20.208333333333332,13.0,10.347222222222221
72,0.9305308958112057,11,20.08219178082192,1.0,10.219178082191782
73,0.9296008300257927,20,20.08108108108108,10.0,10.216216216216216
74,0.9286716938412872,12,19.973333333333333,2.0,10.106666666666667
75,0.9277434863285529,28,20.07894736842105,18.0,10.210526315789474
76,0.9268162065593822,17,20.038961038961038,7.0,10.168831168831169
77,0.9258898536064953,23,20.076923076923077,13.0,10.205128205128204
78,0.9249644265435393,22,20.10126582278481,12.0,10.227848101265822
79,0.9240399244450868,15,20.0375,5.0,10.1625
80,0.9231163463866358,12,19.938271604938272,2.0,10.061728395061728
81,0.922193691444608,17,19.902439024390244,7.0,10.024390243902438
82,0.9212719586963487,17,19.867469879518072,7.0,9.987951807228916
83,0.9203511472201247,22,19.892857142857142,12.0,10.011904761904763
84,0.9194312560951247,11,19.788235294117648,1.0,9.905882352941177
85,0.9185122844014574,18,19.767441860465116,8.0,9.883720930232558
86,0.9175942312201509,21,19.7816091954023,11.0,9.89655172413793
87,0.9166770956331523,20,19.78409090909091,10.0,9.897727272727273
88,0.9157608767233256,10,19.674157303370787,0.0,9.786516853932584
89,0.914845573574452,20,19.677777777777777,10.0,9.78888888888889
90,0.9139311852712282,34,19.835164835164836,24.0,9.945054945054945
91,0.9130177108992658,19,19.82608695652174,9.0,9.934782608695652
92,0.9121051495450904,57,20.225806451612904,47.0,10.333333333333334
93,0.9111935002961405,15,20.170212765957448,5.0,10.27659574468085
94,0.910282762240767,12,20.08421052631579,2.0,10.189473684210526
95,0.9093729344682314,26,20.145833333333332,16.0,10.25
96,0.9084640160687062,14,20.082474226804123,4.0,10.185567010309278
97,0.9075560061332727,30,20.183673469387756,20.0,10.285714285714286
98,0.9066489037539209,19,20.171717171717173,9.0,10.272727272727273
99,0.9057427080235485,7,20.04,-3.0,10.14
100,0.9048374180359595,12,19.96039603960396,2.0,10.05940594059406
101,0.9039330328858641,25,20.00980392156863,15.0,10.107843137254902
102,0.9030295516688768,20,20.009708737864077,10.0,10.106796116504855
103,0.9021269734815165,17,19.98076923076923,7.0,10.076923076923077
104,0.9012252974212047,13,19.914285714285715,3.0,10.00952380952381
105,0.9003245225862656,15,19.867924528301888,5.0,9.962264150943396
106,0.899424648075924,44,20.093457943925234,34.0,10.186915887850468
107,0.8985256729903055,39,20.26851851851852,29.0,10.36111111111111
108,0.8976275964304349,11,20.18348623853211,1.0,10.275229357798166
109,0.8967304174982355,17,20.154545454545456,7.0,10.245454545454546
110,0.8958341352965282,23,20.18018018018018,13.0,10.27027027027027
111,0.894938748929031,15,20.133928571428573,5.0,10.223214285714286
112,0.8940442575003572,18,20.115044247787612,8.0,10.20353982300885
113,0.8931506601160155,23,20.140350877192983,13.0,10.228070175438596
114,0.8922579558824083,13,20.078260869565216,3.0,10.165217391304347
115,0.8913661439068313,21,20.086206896551722,11.0,10.172413793103448
116,0.8904752232974726,28,20.153846153846153,18.0,10.239316239316238
117,0.8895851931634113,31,20.24576271186441,21.0,10.330508474576272
118,0.8886960526146174,14,20.19327731092437,4.0,10.277310924369749
119,0.8878078007619501,12,20.125,2.0,10.208333333333334
120,0.8869204367171575,17,20.09917355371901,7.0,10.181818181818182
121,0.8860339595928756,16,20.065573770491802,6.0,10.147540983606557
122,0.8851483685026271,11,19.991869918699187,1.0,10.073170731707316
123,0.8842636625608209,14,19.943548387096776,4.0,10.024193548387096
124,0.8833798408827509,17,19.92,7.0,10.0
125,0.8824969025845955,15,19.88095238095238,5.0,9.96031746031746
126,0.8816148467834161,15,19.84251968503937,5.0,9.921259842519685
127,0.880733672597157,12,19.78125,2.0,9.859375
128,0.8798533791446438,12,19.72093023255814,2.0,9.7984496124031
129,0.8789739655455832,12,19.661538461538463,2.0,9.738461538461538
130,0.8780954309205613,19,19.65648854961832,9.0,9.732824427480915
131,0.8772177743910435,26,19.704545454545453,16.0,9.780303030303031
132,0.8763409950793732,19,19.69924812030075,9.0,9.774436090225564
133,0.8754650921087711,14,19.65671641791045,4.0,9.73134328358209
134,0.874590064603334,36,19.77777777777778,26.0,9.851851851851851
135,0.8737159116880344,20,19.779411764705884,10.0,9.852941176470589
136,0.8728426324887193,18,19.766423357664234,8.0,9.83941605839416
137,0.8719702261321094,12,19.71014492753623,2.0,9.782608695652174
138,0.8710986917457983,12,19.654676258992804,2.0,9.726618705035971
139,0.8702280284582515,35,19.764285714285716,25.0,9.835714285714285
140,0.8693582353988059,15,19.73049645390071,5.0,9.801418439716311
141,0.8684893116976679,19,19.725352112676056,9.0,9.795774647887324
142,0.867621256485914,22,19.74125874125874,12.0,9.811188811188812
143,0.8667540688954889,9,19.666666666666668,-1.0,9.73611111111111
144,0.865887748059205,51,19.882758620689657,41.0,9.951724137931034
145,0.8650222931107413,53,20.10958904109589,43.0,10.178082191780822
146,0.8641577031846428,8,20.027210884353742,-2.0,10.095238095238095
147,0.8632939774163194,13,19.97972972972973,3.0,10.047297297297296
148,0.8624311149420455,17,19.959731543624162,7.0,10.026845637583893
149,0.8615691148989583,13,19.913333333333334,3.0,9.98
150,0.8607079764250578,13,19.867549668874172,3.0,9.933774834437086
151,0.8598476986592055,15,19.835526315789473,5.0,9.901315789473685
152,0.8589882807411234,12,19.784313725490197,2.0,9.84967320261438
153,0.8581297218113938,14,19.746753246753247,4.0,9.811688311688311
154,0.8572720210114575,36,19.851612903225806,26.0,9.916129032258064
155,0.8564151774836135,17,19.833333333333332,7.0,9.897435897435898
156,0.8555591903710185,21,19.840764331210192,11.0,9.904458598726114
157,0.8547040588176851,20,19.841772151898734,10.0,9.905063291139241
158,0.8538497819684817,48,20.0188679245283,38.0,10.081761006289309
159,0.8529963589691315,21,20.025,11.0,10.0875
160,0.8521437889662113,13,19.981366459627328,3.0,10.043478260869565
161,0.8512920711071511,14,19.944444444444443,4.0,10.006172839506172
162,0.850441204540233,8,19.87116564417178,-2.0,9.932515337423313
163,0.8495911884145902,24,19.896341463414632,14.0,9.957317073170731
164,0.8487420218802068,12,19.848484848484848,2.0,9.909090909090908
165,0.8478937040879159,16,19.825301204819276,6.0,9.885542168674698
166,0.8470462341893996,14,19.790419161676645,4.0,9.850299401197605
167,0.8461996113371882,14,19.75595238095238,4.0,9.81547619047619
168,0.8453538346846587,21,19.763313609467456,11.0,9.822485207100591
169,0.8445089033860343,13,19.723529411764705,3.0,9.782352941176471
170,0.8436648165963837,10,19.666666666666668,0.0,9.725146198830409
171,0.8428215734716199,12,19.622093023255815,2.0,9.680232558139535
172,0.8419791731684999,27,19.664739884393065,17.0,9.722543352601155
173,0.8411376148446232,13,19.626436781609197,3.0,9.683908045977011
174,0.8402968976584314,9,19.565714285714286,-1.0,9.622857142857143
175,0.8394570207692074,10,19.511363636363637,0.0,9.568181818181818
176,0.838617983337074,12,19.468926553672315,2.0,9.525423728813559
177,0.8377797845229938,27,19.51123595505618,17.0,9.567415730337078
178,0.8369424234887681,22,19.52513966480447,12.0,9.581005586592179
179,0.8361058993970355,21,19.533333333333335,11.0,9.588888888888889
180,0.835270211411272,32,19.60220994475138,22.0,9.657458563535911
181,0.8344353586957896,11,19.554945054945055,1.0,9.60989010989011
182,0.8336013404157353,17,19.540983606557376,7.0,9.595628415300547
183,0.832768155737091,43,19.668478260869566,33.0,9.722826086956522
184,0.8319358038266718,9,19.61081081081081,-1.0,9.664864864864866
185,0.8311042838521256,13,19.5752688172043,3.0,9.629032258064516
186,0.8302735949819326,17,19.56149732620321,7.0,9.614973262032086
187,0.8294437363854039,10,19.51063829787234,0.0,9.563829787234043
188,0.8286147072326806,35,19.59259259259259,25.0,9.645502645502646
189,0.8277865066947336,23,19.610526315789475,13.0,9.663157894736843
190,0.8269591339433623,19,19.607329842931936,9.0,9.659685863874346
191,0.8261325881511938,27,19.645833333333332,17.0,9.697916666666666
192,0.8253068684916823,20,19.647668393782382,10.0,9.699481865284975
193,0.8244819741391082,21,19.65463917525773,11.0,9.706185567010309
194,0.8236579042685769,21,19.661538461538463,11.0,9.712820512820512
195,0.8228346580560184,10,19.612244897959183,0.0,9.66326530612245
196,0.8220122346781865,33,19.68020304568528,23.0,9.730964467005077
197,0.821190633312658,11,19.636363636363637,1.0,9.686868686868687
198,0.8203698531378311,19,19.633165829145728,9.0,9.683417085427136
199,0.8195498933329256,16,19.615,6.0,9.665
200,0.8187307530779818,19,19.611940298507463,9.0,9.661691542288557
201,0.8179124315538594,26,19.643564356435643,16.0,9.693069306930694
202,0.8170949279422366,45,19.76847290640394,35.0,9.817733990147783
203,0.8162782414256099,13,19.735294117647058,3.0,9.784313725490197
204,0.8154623711872927,14,19.70731707317073,4.0,9.75609756097561
205,0.8146473164114145,59,19.898058252427184,49.0,9.946601941747574
206,0.8138330762829207,31,19.95169082125604,21.0,10.0
207,0.813019649987571,17,19.9375,7.0,9.985576923076923
208,0.812207036711939,36,20.014354066985646,26.0,10.062200956937799
209,0.8113952356434114,20,20.014285714285716,10.0,10.061904761904762
210,0.8105842459701871,37,20.09478672985782,27.0,10.14218009478673
211,0.8097740668812763,13,20.06132075471698,3.0,10.108490566037736
212,0.8089646975664998,12,20.023474178403756,2.0,10.070422535211268
213,0.8081561372164884,8,19.96728971962617,-2.0,10.014018691588785
214,0.8073483850226815,46,20.088372093023256,36.0,10.134883720930233
215,0.8065414401773269,20,20.087962962962962,10.0,10.13425925925926
216,0.8057353018734796,45,20.202764976958527,35.0,10.248847926267281
217,0.8049299693050015,12,20.165137614678898,2.0,10.211009174311927
218,0.8041254416665596,16,20.14611872146119,6.0,10.191780821917808
219,0.8033217181536265,11,20.104545454545455,1.0,10.15
220,0.8025187979624785,62,20.294117647058822,52.0,10.339366515837105
221,0.8017166802901953,23,20.306306306306308,13.0,10.35135135135135
222,0.8009153643346592,16,20.286995515695068,6.0,10.331838565022421
223,0.8001148492945541,20,20.285714285714285,10.0,10.330357142857142
224,0.7993151343693651,21,20.288888888888888,11.0,10.333333333333334
225,0.7985162187593771,14,20.261061946902654,4.0,10.305309734513274
226,0.7977181016656743,34,20.3215859030837,24.0,10.365638766519824
227,0.7969207822901396,28,20.355263157894736,18.0,10.399122807017545
228,0.7961242598354538,41,20.445414847161572,31.0,10.489082969432314
229,0.7953285335050939,18,20.434782608695652,8.0,10.478260869565217
230,0.794533602503334,21,20.437229437229437,11.0,10.480519480519481
231,0.7937394660352427,13,20.405172413793103,3.0,10.448275862068966
232,0.7929461233066837,13,20.373390557939913,3.0,10.416309012875537
233,0.792153573524314,18,20.363247863247864,8.0,10.405982905982906
234,0.7913618158955839,13,20.33191489361702,3.0,10.374468085106383
235,0.7905708496287356,13,20.300847457627118,3.0,10.34322033898305
236,0.7897806739328027,20,20.29957805907173,10.0,10.341772151898734
237,0.7889912880176096,38,20.373949579831933,28.0,10.415966386554622
238,0.7882026910937704,18,20.364016736401673,8.0,10.405857740585773
239,0.7874148823726879,27,20.391666666666666,17.0,10.433333333333334
240,0.7866278610665535,19,20.38589211618257,9.0,10.427385892116183
241,0.7858416263883455,16,20.367768595041323,6.0,10.409090909090908
242,0.7850561775518295,15,20.34567901234568,5.0,10.386831275720164
243,0.7842715137715565,10,20.30327868852459,0.0,10.344262295081966
244,0.7834876342628625,18,20.293877551020408,8.0,10.33469387755102
245,0.7827045382418681,11,20.25609756097561,1.0,10.296747967479675
246,0.7819222249254772,11,20.218623481781375,1.0,10.259109311740891
247,0.7811406935313765,24,20.233870967741936,14.0,10.274193548387096
248,0.7803599432780343,37,20.301204819277107,27.0,10.34136546184739
249,0.7795799733847004,14,20.276,4.0,10.316
250,0.7788007830714049,13,20.247011952191237,3.0,10.286852589641434
251,0.7780223715589573,21,20.25,11.0,10.28968253968254
252,0.7772447380689461,27,20.276679841897234,17.0,10.316205533596838
253,0.7764678818237378,28,20.30708661417323,18.0,10.346456692913385
254,0.775691802046476,13,20.27843137254902,3.0,10.31764705882353
255,0.774916497961081,16,20.26171875,6.0,10.30078125
256,0.7741419687922484,19,20.2568093385214,9.0,10.295719844357977
257,0.7733682137654491,19,20.251937984496124,9.0,10.290697674418604
258,0.772595232106928,15,20.231660231660232,5.0,10.27027027027027
259,0.7718230230437034,13,20.203846153846154,3.0,10.242307692307692
