episode,epsilon,score,average_score,total_reward,average_reward
0,1.0,-0.4301478455714636,-0.4301478455714636,-209.0,-209.0
1,0.995,-0.4480066310877811,-0.43907723832962237,-209.0,-209.0
2,0.990025,-0.4436448999234047,-0.44059979219421647,-209.0,-209.0
3,0.985074875,-0.40489049834958757,-0.43167246873305926,-209.0,-209.0
4,0.9801495006250001,-0.2730523959343808,-0.3999484541733236,-209.0,-209.0
5,0.9752487531218751,-0.3528796490248833,-0.3921036533152502,-209.0,-209.0
6,0.9703725093562657,-0.3833314362029886,-0.39085047944206996,-209.0,-209.0
7,0.9655206468094844,-0.4560423636554606,-0.3989994649687438,-209.0,-209.0
8,0.960693043575437,-0.41967914067149037,-0.4012972067134934,-209.0,-209.0
9,0.9558895783575597,-0.32223512153919803,-0.3933909981960638,-209.0,-209.0
10,0.9511101304657719,-0.30283620082957197,-0.38515874389001914,-209.0,-209.0
11,0.946354579813443,-0.4446397771281547,-0.39011549665986384,-209.0,-209.0
12,0.9416228069143757,-0.3314061534632294,-0.38559939333704574,-209.0,-209.0
13,0.9369146928798039,-0.45156366005938753,-0.3903111266743559,-209.0,-209.0
14,0.9322301194154049,-0.35617908860621506,-0.38803565746981317,-209.0,-209.0
15,0.9275689688183278,-0.3975617026663657,-0.3886310352945977,-209.0,-209.0
16,0.9229311239742362,-0.4201289252102268,-0.3904838523484582,-209.0,-209.0
17,0.918316468354365,-0.4484791151350563,-0.3937058113921581,-209.0,-209.0
18,0.9137248860125932,-0.3563180778320387,-0.3917380359416255,-209.0,-209.0
19,0.9091562615825302,-0.44292332012141744,-0.3942973001506151,-209.0,-209.0
20,0.9046104802746175,-0.42766620255018,-0.3958862955029753,-209.0,-209.0
21,0.9000874278732445,-0.35446703583215505,-0.3940036018815744,-209.0,-209.0
22,0.8955869907338783,-0.4026847478754541,-0.3943810430117431,-209.0,-209.0
23,0.8911090557802088,-0.41368808244243355,-0.39518550298802185,-209.0,-209.0
24,0.8866535105013078,-0.4424658338876749,-0.39707671622400803,-209.0,-209.0
25,0.8822202429488013,-0.42341827491698775,-0.398089853096815,-209.0,-209.0
26,0.8778091417340573,-0.4201765506835994,-0.39890787893336255,-209.0,-209.0
27,0.8734200960253871,-0.38512176845270296,-0.39841551784476753,-209.0,-209.0
28,0.8690529955452602,-0.41530512307478024,-0.3989979180251128,-209.0,-209.0
29,0.8647077305675338,-0.43951219602477626,-0.4003483939584349,-209.0,-209.0
30,0.8603841919146962,-0.44679020227971666,-0.4018465168075085,-209.0,-209.0
31,0.8560822709551227,-0.4034619653814476,-0.4018969995754441,-209.0,-209.0
32,0.851801859600347,-0.35017852266266236,-0.4003297730023295,-209.0,-209.0
33,0.8475428503023453,-0.3261146093285099,-0.3981469740707466,-209.0,-209.0
34,0.8433051360508336,-0.43885768593687124,-0.39931013726692155,-209.0,-209.0
35,0.8390886103705794,-0.3696313017275507,-0.39848572516860575,-209.0,-209.0
