episode,epsilon,score,average_score,total_reward,average_reward
1,1.0,-0.36629702220372923,-0.18314851110186461,-209.0,-104.5
2,0.9980019986673331,-0.373411724602595,-0.2465695822687747,-209.0,-139.33333333333334
3,0.997004495503373,-0.40954872110538826,-0.2873143669779281,-209.0,-156.75
4,0.9960079893439915,-0.4272793511602598,-0.31530736381439445,-209.0,-167.2
5,0.9950124791926823,-0.4208498594134452,-0.33289777974756957,-209.0,-174.16666666666666
6,0.9940179640539353,-0.37102652660738383,-0.3383447435846859,-209.0,-179.14285714285714
7,0.9930244429332351,-0.45390165604409455,-0.352789357642112,-209.0,-182.875
8,0.9920319148370607,-0.42679157977488774,-0.361011826767976,-209.0,-185.77777777777777
9,0.9910403787728836,-0.34028747868265513,-0.3589393919594439,-209.0,-188.1
10,0.9900498337491681,-0.28851920242246315,-0.3525375565469911,-209.0,-190.0
11,0.9890602787753687,-0.42542166106297286,-0.35861123192332295,-209.0,-191.58333333333334
12,0.9880717128619305,-0.38564258773977694,-0.36069056698612706,-209.0,-192.92307692307693
13,0.9870841350202876,-0.4035155500156772,-0.3637494943453806,-209.0,-194.07142857142858
14,0.9860975442628619,-0.4406125800505373,-0.36887370005905773,-209.0,-195.06666666666666
15,0.9851119396030626,-0.3865875318208716,-0.3699808145441711,-209.0,-195.9375
16,0.9841273200552851,-0.4730632938158037,-0.3760444897954436,-209.0,-196.7058823529412
17,0.9831436846349096,-0.4057446959133133,-0.37769450124643633,-209.0,-197.38888888888889
18,0.9821610323583008,-0.40826241433451016,-0.3793033387773876,-209.0,-198.0
19,0.981179362242806,-0.4234191638105927,-0.38150913002904785,-209.0,-198.55
20,0.9801986733067553,-0.28391295524418775,-0.3768616931345307,-209.0,-199.04761904761904
21,0.9792189645694596,-0.41104798397481146,-0.37841561544545255,-209.0,-199.5
22,0.97824023505121,-0.41803841883012466,-0.3801383460273949,-209.0,-199.91304347826087
23,0.9772624837732771,-0.4442335820396251,-0.3828089808612378,-209.0,-200.29166666666666
24,0.9762857097579093,-0.390370679039054,-0.38311144878835046,-209.0,-200.64
25,0.9753099120283326,-0.42484235361209016,-0.3847164835892635,-209.0,-200.96153846153845
