episode,epsilon,score,average_score,total_reward,average_reward
0,1.0,-0.4058969361683183,-0.4058969361683183,-209.0,-209.0
1,0.995,-0.4248670823424629,-0.4153820092553906,-209.0,-209.0
2,0.990025,-0.23080219728934925,-0.35385540526671017,-209.0,-209.0
3,0.985074875,-0.3988065473288376,-0.365093190782242,-209.0,-209.0
4,0.9801495006250001,-0.2773342856214888,-0.3475414097500914,-209.0,-209.0
5,0.9752487531218751,-0.42516043918175433,-0.36047791465536855,-209.0,-209.0
6,0.9703725093562657,-0.31299604819269233,-0.3536947908749863,-209.0,-209.0
7,0.9655206468094844,-0.42381618637832646,-0.3624599653129038,-209.0,-209.0
8,0.960693043575437,-0.29715049089874523,-0.35520335704466394,-209.0,-209.0
9,0.9558895783575597,-0.45686711538705005,-0.36536973287890256,-209.0,-209.0
10,0.9511101304657719,-0.4504265260619911,-0.37310216862281964,-209.0,-209.0
11,0.946354579813443,-0.34845548105501883,-0.37104827799216955,-209.0,-209.0
12,0.9416228069143757,-0.43715059174341586,-0.37613307135765006,-209.0,-209.0
13,0.9369146928798039,-0.38181426670927454,-0.3765388710256232,-209.0,-209.0
14,0.9322301194154049,-0.3907755043010631,-0.3774879799106525,-209.0,-209.0
15,0.9275689688183278,-0.39140971775683253,-0.3783580885260388,-209.0,-209.0
16,0.9229311239742362,-0.35731981648103783,-0.37712054311162696,-209.0,-209.0
17,0.918316468354365,-0.4553941481458487,-0.3814690767246393,-209.0,-209.0
18,0.9137248860125932,-0.24674321520913303,-0.3743782419080337,-209.0,-209.0
19,0.9091562615825302,-0.3507582247246084,-0.3731972410488624,-209.0,-209.0
20,0.9046104802746175,-0.3429822275622419,-0.3717584308828329,-209.0,-209.0
21,0.9000874278732445,-0.3907271544810628,-0.3726206455918433,-209.0,-209.0
22,0.8955869907338783,-0.429155969432452,-0.3750787031501307,-209.0,-209.0
23,0.8911090557802088,-0.3353839101652136,-0.37342475344242576,-209.0,-209.0
24,0.8866535105013078,-0.32167586221206385,-0.3713547977932113,-209.0,-209.0
25,0.8822202429488013,-0.3837157243370492,-0.3718302180448974,-209.0,-209.0
26,0.8778091417340573,-0.31793250406954465,-0.3698340064161806,-209.0,-209.0
27,0.8734200960253871,-0.38021359754470857,-0.3702047060993423,-209.0,-209.0
28,0.8690529955452602,-0.30753779211645843,-0.368043778030967,-209.0,-209.0
29,0.8647077305675338,-0.330994196384994,-0.3668087919761012,-209.0,-209.0
30,0.8603841919146962,-0.36490472564662824,-0.3667473704816021,-209.0,-209.0
31,0.8560822709551227,-0.18882227238510854,-0.36118721116608665,-209.0,-209.0
32,0.851801859600347,-0.38704458165507366,-0.3619707678475711,-209.0,-209.0
33,0.8475428503023453,-0.301553507655948,-0.360193789606641,-209.0,-209.0
34,0.8433051360508336,-0.4311663756790308,-0.36222157778013786,-209.0,-209.0
35,0.8390886103705794,-0.34621287904469067,-0.3617768917041532,-209.0,-209.0
36,0.8348931673187264,-0.3607466645805409,-0.36174904772783933,-209.0,-209.0
37,0.8307187014821328,-0.412117039037908,-0.36307452118336747,-209.0,-209.0
38,0.8265651079747222,-0.42408155798314096,-0.36463880417823347,-209.0,-209.0
39,0.8224322824348486,-0.42516203544345876,-0.36615188495986406,-209.0,-209.0
40,0.8183201210226743,-0.3815940263357029,-0.3665285225543967,-209.0,-209.0
41,0.8142285204175609,-0.4200640162645677,-0.3678031771665437,-209.0,-209.0
42,0.810157377815473,-0.4040798881990737,-0.3686468216091607,-209.0,-209.0
43,0.8061065909263957,-0.4083284197123299,-0.36954867611150544,-209.0,-209.0
44,0.8020760579717637,-0.28453236038239926,-0.36765942465085866,-209.0,-209.0
45,0.798065677681905,-0.3562430289466721,-0.36741124213555026,-209.0,-209.0
46,0.7940753492934954,-0.4043293741244678,-0.36819673430552724,-209.0,-209.0
47,0.7901049725470279,-0.13087229972729691,-0.3632524752518141,-209.0,-209.0
48,0.7861544476842928,-0.32798405666446634,-0.3625327116071744,-209.0,-209.0
49,0.7822236754458713,-0.41766614322018547,-0.36363538023943454,-209.0,-209.0
