episode,epsilon,score,average_score,total_reward,average_reward
0,1.0,9,9.0,-1.0,-1.0
1,1.0,23,16.0,13.0,6.0
2,0.995,57,29.666666666666668,47.0,19.666666666666668
3,0.990025,8,24.25,-2.0,14.25
4,0.985074875,32,25.8,22.0,15.8
5,0.9801495006250001,25,25.666666666666668,15.0,15.666666666666666
6,0.9752487531218751,13,23.857142857142858,3.0,13.857142857142858
7,0.9703725093562657,16,22.875,6.0,12.875
8,0.9655206468094844,46,25.444444444444443,36.0,15.444444444444445
9,0.960693043575437,21,25.0,11.0,15.0
10,0.9558895783575597,18,24.363636363636363,8.0,14.363636363636363
11,0.9511101304657719,44,26.0,34.0,16.0
12,0.946354579813443,31,26.384615384615383,21.0,16.384615384615383
13,0.9416228069143757,16,25.642857142857142,6.0,15.642857142857142
14,0.9369146928798039,51,27.333333333333332,41.0,17.333333333333332
15,0.9322301194154049,13,26.4375,3.0,16.4375
16,0.9275689688183278,47,27.647058823529413,37.0,17.647058823529413
17,0.9229311239742362,19,27.166666666666668,9.0,17.166666666666668
18,0.918316468354365,15,26.526315789473685,5.0,16.526315789473685
19,0.9137248860125932,14,25.9,4.0,15.9
20,0.9091562615825302,16,25.428571428571427,6.0,15.428571428571429
21,0.9046104802746175,14,24.90909090909091,4.0,14.909090909090908
22,0.9000874278732445,25,24.91304347826087,15.0,14.91304347826087
23,0.8955869907338783,36,25.375,26.0,15.375
24,0.8911090557802088,37,25.84,27.0,15.84
25,0.8866535105013078,23,25.73076923076923,13.0,15.73076923076923
26,0.8822202429488013,22,25.59259259259259,12.0,15.592592592592593
27,0.8778091417340573,41,26.142857142857142,31.0,16.142857142857142
28,0.8734200960253871,42,26.689655172413794,32.0,16.689655172413794
29,0.8690529955452602,23,26.566666666666666,13.0,16.566666666666666
30,0.8647077305675338,35,26.838709677419356,25.0,16.838709677419356
31,0.8603841919146962,12,26.375,2.0,16.375
32,0.8560822709551227,9,25.848484848484848,-1.0,15.848484848484848
33,0.851801859600347,19,25.647058823529413,9.0,15.647058823529411
34,0.8475428503023453,9,25.17142857142857,-1.0,15.17142857142857
35,0.8433051360508336,20,25.02777777777778,10.0,15.027777777777779
36,0.8390886103705794,15,24.756756756756758,5.0,14.756756756756756
37,0.8348931673187264,27,24.81578947368421,17.0,14.81578947368421
38,0.8307187014821328,42,25.256410256410255,32.0,15.256410256410257
39,0.8265651079747222,18,25.075,8.0,15.075
40,0.8224322824348486,36,25.341463414634145,26.0,15.341463414634147
41,0.8183201210226743,11,25.0,1.0,15.0
42,0.8142285204175609,14,24.74418604651163,4.0,14.744186046511627
43,0.810157377815473,34,24.954545454545453,24.0,14.954545454545455
44,0.8061065909263957,16,24.755555555555556,6.0,14.755555555555556
45,0.8020760579717637,16,24.565217391304348,6.0,14.565217391304348
46,0.798065677681905,28,24.638297872340427,18.0,14.638297872340425
47,0.7940753492934954,12,24.375,2.0,14.375
48,0.7901049725470279,23,24.346938775510203,13.0,14.346938775510203
49,0.7861544476842928,35,24.56,25.0,14.56
50,0.7822236754458713,8,24.235294117647058,-2.0,14.235294117647058
51,0.778312557068642,20,24.153846153846153,10.0,14.153846153846153
52,0.7744209942832988,13,23.943396226415093,3.0,13.943396226415095
53,0.7705488893118823,24,23.944444444444443,14.0,13.944444444444445
54,0.7666961448653229,10,23.69090909090909,0.0,13.690909090909091
55,0.7628626641409962,11,23.464285714285715,1.0,13.464285714285714
56,0.7590483508202912,10,23.228070175438596,0.0,13.228070175438596
