episode,epsilon,score,average_score,total_reward,average_reward
0,1.0,-0.30462,-0.30462,-209.0,-209.0
1,0.995,-0.42703,-0.36582,-209.0,-209.0
2,0.990025,-0.41207,-0.38124,-209.0,-209.0
3,0.985074875,-0.38837,-0.38302,-209.0,-209.0
4,0.9801495006250001,-0.47903,-0.40222,-209.0,-209.0
5,0.9752487531218751,-0.30579,-0.38615,-209.0,-209.0
6,0.9703725093562657,-0.39591,-0.38755,-209.0,-209.0
7,0.9655206468094844,-0.44559,-0.3948,-209.0,-209.0
8,0.960693043575437,-0.39175,-0.39446,-209.0,-209.0
9,0.9558895783575597,-0.26011,-0.38103,-209.0,-209.0
10,0.9511101304657719,-0.40215,-0.38295,-209.0,-209.0
11,0.946354579813443,-0.44268,-0.38793,-209.0,-209.0
12,0.9416228069143757,-0.28245,-0.37981,-209.0,-209.0
13,0.9369146928798039,-0.26959,-0.37194,-209.0,-209.0
14,0.9322301194154049,-0.2904,-0.3665,-209.0,-209.0
15,0.9275689688183278,-0.24932,-0.35918,-209.0,-209.0
16,0.9229311239742362,-0.41984,-0.36275,-209.0,-209.0
17,0.918316468354365,-0.37953,-0.36368,-209.0,-209.0
18,0.9137248860125932,-0.33688,-0.36227,-209.0,-209.0
19,0.9091562615825302,-0.40942,-0.36463,-209.0,-209.0
20,0.9046104802746175,-0.48134,-0.37018,-209.0,-209.0
21,0.9000874278732445,-0.3272,-0.36823,-209.0,-209.0
22,0.8955869907338783,-0.43009,-0.37092,-209.0,-209.0
23,0.8911090557802088,-0.36214,-0.37055,-209.0,-209.0
24,0.8866535105013078,-0.45775,-0.37404,-209.0,-209.0
25,0.8822202429488013,-0.40088,-0.37507,-209.0,-209.0
26,0.8778091417340573,-0.41525,-0.37656,-209.0,-209.0
27,0.8734200960253871,-0.31637,-0.37441,-209.0,-209.0
28,0.8690529955452602,-0.41255,-0.37573,-209.0,-209.0
29,0.8647077305675338,-0.42332,-0.37731,-209.0,-209.0
30,0.8603841919146962,-0.42783,-0.37894,-209.0,-209.0
31,0.8560822709551227,-0.4513,-0.3812,-209.0,-209.0
32,0.851801859600347,-0.3656,-0.38073,-209.0,-209.0
33,0.8475428503023453,-0.46912,-0.38333,-209.0,-209.0
34,0.8433051360508336,-0.34789,-0.38232,-209.0,-209.0
35,0.8390886103705794,-0.2714,-0.37924,-209.0,-209.0
36,0.8348931673187264,-0.41902,-0.38031,-209.0,-209.0
37,0.8307187014821328,-0.37186,-0.38009,-209.0,-209.0
38,0.8265651079747222,-0.37575,-0.37998,-209.0,-209.0
39,0.8224322824348486,-0.30899,-0.3782,-209.0,-209.0
40,0.8183201210226743,-0.48861,-0.3809,-209.0,-209.0
41,0.8142285204175609,-0.44882,-0.38251,-209.0,-209.0
42,0.810157377815473,-0.42498,-0.3835,-209.0,-209.0
43,0.8061065909263957,-0.43686,-0.38471,-209.0,-209.0
44,0.8020760579717637,-0.23378,-0.38136,-209.0,-209.0
45,0.798065677681905,-0.35396,-0.38077,-209.0,-209.0
46,0.7940753492934954,-0.4105,-0.3814,-209.0,-209.0
47,0.7901049725470279,-0.23535,-0.37835,-209.0,-209.0
48,0.7861544476842928,-0.30875,-0.37693,-209.0,-209.0
49,0.7822236754458713,-0.43778,-0.37815,-209.0,-209.0
50,0.778312557068642,-0.3023,-0.37666,-209.0,-209.0
51,0.7744209942832988,-0.2671,-0.37456,-209.0,-209.0
52,0.7705488893118823,-0.36669,-0.37441,-209.0,-209.0
53,0.7666961448653229,-0.43885,-0.3756,-209.0,-209.0
54,0.7628626641409962,-0.1728,-0.37191,-209.0,-209.0
55,0.7590483508202912,-0.28817,-0.37042,-209.0,-209.0
56,0.7552531090661897,-0.34885,-0.37004,-209.0,-209.0
57,0.7514768435208588,-0.41118,-0.37075,-209.0,-209.0
58,0.7477194593032545,-0.43991,-0.37192,-209.0,-209.0
59,0.7439808620067382,-0.41101,-0.37257,-209.0,-209.0
60,0.7402609576967045,-0.41136,-0.37321,-209.0,-209.0
61,0.736559652908221,-0.43682,-0.37424,-209.0,-209.0
62,0.7328768546436799,0.0395,-0.36767,-209.0,-209.0
