episode,epsilon,score,average_score,total_reward,average_reward,Q_table_length
1,1.0,-0.4086342176047972,-0.2043171088023986,-209.0,-104.5,201
2,0.9980019986673331,-0.37014326834174893,-0.25959249531551537,-209.0,-139.33333333333334,402
3,0.997004495503373,-0.46191824792350145,-0.3101739334675119,-209.0,-156.75,603
4,0.9960079893439915,-0.3588578408652308,-0.31991071494705564,-209.0,-167.2,804
5,0.9950124791926823,-0.38191579613347065,-0.3302448951447915,-209.0,-174.16666666666666,1005
6,0.9940179640539353,-0.3174145942300258,-0.32841199501411067,-209.0,-179.14285714285714,1206
7,0.9930244429332351,-0.24500744059889926,-0.31798642571220925,-209.0,-182.875,1407
8,0.9920319148370607,-0.32913615895537957,-0.3192252849614504,-209.0,-185.77777777777777,1608
9,0.9910403787728836,-0.4071338698475741,-0.32801614345006275,-209.0,-188.1,1809
10,0.9900498337491681,-0.3589285671096392,-0.33082636378275154,-209.0,-190.0,2010
11,0.9890602787753687,-0.34516296950668984,-0.3320210809264131,-209.0,-191.58333333333334,2211
12,0.9880717128619305,-0.48296349689793255,-0.34363203600114534,-209.0,-192.92307692307693,2412
13,0.9870841350202876,-0.3803355313434328,-0.34625371423988016,-209.0,-194.07142857142858,2613
14,0.9860975442628619,-0.4880161746305986,-0.35570454493259474,-209.0,-195.06666666666666,2814
15,0.9851119396030626,-0.41608510043191715,-0.3594783296513024,-209.0,-195.9375,3015
16,0.9841273200552851,-0.3014212280619755,-0.3560632060284008,-209.0,-196.7058823529412,3216
17,0.9831436846349096,-0.39906531861012784,-0.3584522122829412,-209.0,-197.38888888888889,3417
18,0.9821610323583008,-0.41700365300396136,-0.3615338670577318,-209.0,-198.0,3618
19,0.981179362242806,-0.3333463809313561,-0.360124492751413,-209.0,-198.55,3819
20,0.9801986733067553,-0.37899666097202356,-0.3610231674285849,-209.0,-199.04761904761904,4020
21,0.9792189645694596,-0.27453000897856566,-0.35709166022631134,-209.0,-199.5,4221
22,0.97824023505121,-0.4013861917053343,-0.35901750942105143,-209.0,-199.91304347826087,4422
23,0.9772624837732771,-0.38031700419988074,-0.3599049883701693,-209.0,-200.29166666666666,4623
24,0.9762857097579093,-0.2806192177539039,-0.3567335575455187,-209.0,-200.64,4824
25,0.9753099120283326,-0.39142409679520895,-0.3580678090551222,-209.0,-200.96153846153845,5025
26,0.9743350896087494,-0.2917893831172497,-0.3556130525389047,-209.0,-201.25925925925927,5226
27,0.9733612415243368,-0.4429585126436881,-0.35873253325693266,-209.0,-201.53571428571428,5427
28,0.9723883668012469,-0.35192354422704264,-0.3584977405317641,-209.0,-201.79310344827587,5628
29,0.9714164644666048,-0.4253727328464036,-0.360726906942252,-209.0,-202.03333333333333,5829
30,0.9704455335485082,-0.4315830110218575,-0.3630125877190135,-209.0,-202.25806451612902,6030
31,0.9694755730760259,-0.3676982547800301,-0.3631590148146703,-209.0,-202.46875,6231
32,0.9685065820791976,-0.4368593190824204,-0.3653923573682385,-209.0,-202.66666666666666,6432
33,0.967538559589032,-0.3210783988063948,-0.3640890056458313,-209.0,-202.85294117647058,6633
34,0.9665715046375066,-0.3358397298651207,-0.36328188348066814,-209.0,-203.02857142857144,6834
35,0.9656054162575665,-0.38226754915469574,-0.3638092630827245,-209.0,-203.19444444444446,7035
36,0.9646402934831231,-0.40762856214929843,-0.36499356846290215,-209.0,-203.35135135135135,7236
37,0.9636761353490535,-0.31168222774707127,-0.36359063844406453,-209.0,-203.5,7437
38,0.9627129408911995,-0.31897173842216275,-0.3624465640845286,-209.0,-203.64102564102564,7638
39,0.9617507091463667,-0.3713828461977319,-0.3626699711373586,-209.0,-203.775,7839
40,0.9607894391523232,-0.3328581093263398,-0.3619428525566021,-209.0,-203.90243902439025,8040
41,0.9598291299477989,-0.37319728359726717,-0.3622108152004274,-209.0,-204.02380952380952,8241
42,0.9588697805724845,-0.38546695041045287,-0.36275165555414896,-209.0,-204.13953488372093,8442
43,0.9579113900670306,-0.37489233406192213,-0.36302758006568925,-209.0,-204.25,8643
44,0.9569539574730467,-0.2958160820577495,-0.3615339912210684,-209.0,-204.35555555555555,8844
45,0.9559974818331,-0.4512101992829871,-0.3634834740050231,-209.0,-204.45652173913044,9045
46,0.9550419621907147,-0.37563392044599336,-0.363741994142065,-209.0,-204.5531914893617,9246
47,0.9540873975903711,-0.33393402116649606,-0.363120994705074,-209.0,-204.64583333333334,9447
48,0.9531337870775047,-0.37639871349979387,-0.3633919685580274,-209.0,-204.73469387755102,9648
49,0.9521811296985049,-0.43301583046541076,-0.3647844457961751,-209.0,-204.82,9849
50,0.951229424500714,-0.3610790040108807,-0.36471179007489485,-209.0,-204.90196078431373,10050
51,0.950278670532427,-0.3458589073148922,-0.3643492346372025,-209.0,-204.98076923076923,10251
52,0.9493288668428895,-0.24261278937326275,-0.36205232057561865,-209.0,-205.0566037735849,10452
53,0.9483800124822982,-0.4149067729828331,-0.3630311067313078,-209.0,-205.12962962962962,10653
54,0.9474321065017983,-0.32750166981259454,-0.3623851169691494,-209.0,-205.2,10854
55,0.9464851479534838,-0.41511516397059467,-0.363326724951318,-209.0,-205.26785714285714,11055
56,0.9455391358903963,-0.3211102490939586,-0.3625860850239959,-209.0,-205.33333333333334,11256
57,0.9445940693665233,-0.3659638241938086,-0.3626443219062341,-209.0,-205.39655172413794,11457
58,0.9436499474367985,-0.33120707325503,-0.3621114871833323,-209.0,-205.45762711864407,11658
59,0.9427067691570997,-0.41286912568449663,-0.36295744782501843,-209.0,-205.51666666666668,11859
60,0.9417645335842487,-0.3056207340234056,-0.36201750169712316,-209.0,-205.5737704918033,12060
61,0.9408232397760097,-0.31459090316808846,-0.36125255655955807,-209.0,-205.6290322580645,12261
62,0.9398828867910889,-0.42095980350240164,-0.3622002906380159,-209.0,-205.68253968253967,12462
63,0.9389434736891332,-0.42876933216210017,-0.36324043191182975,-209.0,-205.734375,12663
64,0.9380049995307295,-0.4384672824048082,-0.3643977680732602,-209.0,-205.7846153846154,12864
65,0.9370674633774034,-0.46449880850612824,-0.36591445050406124,-209.0,-205.83333333333334,13065
66,0.9361308642916188,-0.4001750830283196,-0.36642580322830387,-209.0,-205.88059701492537,13266
67,0.9351952013367766,-0.4003590814874727,-0.36692482202623283,-209.0,-205.9264705882353,13467
68,0.9342604735772135,-0.37604332847043986,-0.36705697429354023,-209.0,-205.97101449275362,13668
69,0.933326680078202,-0.4324963178038216,-0.36799182205797276,-209.0,-206.0142857142857,13869
70,0.9323938199059483,-0.4752652823583034,-0.3695027158650197,-209.0,-206.05633802816902,14070
71,0.9314618921275921,-0.4287111974350391,-0.3703250558868255,-209.0,-206.09722222222223,14271
72,0.9305308958112057,-0.4920119242489207,-0.371991999289046,-209.0,-206.13698630136986,14472
73,0.9296008300257927,-0.4187365382262008,-0.37262368224765624,-209.0,-206.17567567567568,14673
74,0.9286716938412872,-0.3440364368080539,-0.3722425189751282,-209.0,-206.21333333333334,14874
75,0.9277434863285529,-0.38034887657291966,-0.37234918157509916,-209.0,-206.25,15075
76,0.9268162065593822,-0.43514381719636414,-0.3731646963234273,-209.0,-206.28571428571428,15276
77,0.9258898536064953,-0.3230314922181485,-0.3725219629374622,-209.0,-206.32051282051282,15477
78,0.9249644265435393,-0.40097041713168863,-0.37288206995257894,-209.0,-206.35443037974684,15678
79,0.9240399244450868,-0.42553495424753807,-0.373540231006266,-209.0,-206.3875,15879
